ip,up,upt,dn,dnt
218.30,133,1375473087.69,121,1375473087.69
204.11,2336,1375475241.480,8705,1375475238.24
199.38,1697,1375473987.121,2616,1375473927.34
208.94,1040,1375473687.140,31996,1375473687.140
114.79,40,1375472988.67,18,1375472994.63
87.237,207,1375472988.67,202,1375472988.67
62.213,591,1375472988.67,11991,1375472988.67
80.179,198,1375475061.574,3699,1375475061.574
173.36,17,1375472988.67,0,-1
208.67,5787,1375473570.90,10227,1375473570.90
68.232,347,1375472988.67,94,1375472988.67
64.100,144,1375473003.2213,0,-1
173.37,97,1375473006.21,0,-1
17.146,892,1375472994.63,44844,1375472994.63
23.21,379144,1375473966.47,173512,1375475103.108
63.141,0,-1,35,1375472994.63
192.220,209,1375472997.1030,473,1375472997.1030
208.120,232,1375472997.1030,173,1375472997.1030
18.95,210,1375472997.1030,167,1375472997.1030
85.10,0,-1,85,1375472997.1030
129.97,0,-1,46,1375472997.1030
211.5,3025,1375473456.408,4296,1375473456.408
96.126,1426,1375473003.2213,9889,1375473003.2213
66.163,6941,1375473003.2213,30233,1375473003.2213
72.32,2225,1375473003.2213,19996,1375473003.2213
96.46,695,1375473003.2213,528,1375473003.2213
173.25,91,1375473003.2213,0,-1
64.102,46486,1375473054.114,642599,1375473576.3045
199.19,1589,1375473009.365,42829,1375473015.1055
69.194,6049,1375473453.844,3333,1375473453.844
216.251,13149,1375474098.48,5040,1375473195.501
69.169,340,1375473018.576,288,1375473018.576
54.215,13163,1375473012.593,7741,1375473012.593
204.236,6164,1375473120.13,374087,1375473120.13
66.70,7367,1375475289.17,4048,1375475289.17
173.241,7059,1375473018.576,18324,1375474554.810
184.72,3093,1375473012.593,6474,1375473906.91
8.21,2244,1375474092.413,4653,1375473891.2377
74.117,2152,1375474107.43,4598,1375474971.794
166.108,950,1375473042.1508,6788,1375473042.1508
69.89,330,1375473021.79,305,1375473441.1426
208.91,3639,1375475076.281,1246,1375475076.281
72.167,1132,1375475358.320,4325,1375473669.49
121.54,59,1375473015.1055,0,-1
128.2,69317,1375475085.281,7913,1375474794.93
204.15,1410,1375475226.495,2067,1375475223.45
64.79,1238,1375475241.480,1980,1375473582.893
208.80,22557,1375474770.4102,664774,1375474770.4102
204.145,616,1375473822.1630,6763,1375473822.1630
83.169,341,1375473018.576,392,1375473996.397
54.213,18849,1375475277.1549,189720,1375475292.53
216.120,1219,1375475061.574,454,1375475061.574
50.17,936,1375474971.794,13839,1375473735.169
54.246,356,1375474584.61,1388,1375474584.61
205.210,5056,1375473447.356,4439,1375473447.356
208.71,2699,1375474401.57,13002,1375474401.57
173.204,10310,1375473018.576,10848,1375473018.576
8.30,552,1375473996.397,801,1375473996.397
74.121,1278,1375474017.1386,3782,1375473123.836
54.244,2032,1375473018.576,1912,1375474020.883
64.191,1884,1375473018.576,995,1375473873.130
